City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,minas de marcona,-15.2119,-75.1103,13.84,90,91,2.79,PE,1715247855
270,diyarbakir,37.9158,40.2189,23.99,35,40,1.54,TR,1715247855
271,horta,38.5333,-28.6333,17.79,79,20,3.09,PT,1715247855
272,stanley,54.868,-1.6985,17.62,71,20,6.69,GB,1715247730
273,fortuna,40.5982,-124.1573,7.77,97,0,3.09,US,1715247729
274,itaituba,-4.2761,-55.9836,22.46,93,53,0.66,BR,1715247856
275,itoman,26.1247,127.6694,24.43,59,75,7.72,JP,1715247856
276,arkhangel'sk,64.5401,40.5433,-0.94,69,100,9.0,RU,1715247856
277,westport,41.1415,-73.3579,16.99,80,0,0.89,US,1715247856
278,moyynkum,44.2914,72.9469,34.08,19,15,2.24,KZ,1715247856
279,guatire,10.4762,-66.5427,23.57,87,98,1.31,VE,1715247857
280,mejit,10.2753,170.8646,27.42,84,100,9.21,MH,1715247712
281,oranjemund,-28.55,16.4333,16.94,72,1,6.69,NA,1715247706
282,lorengau,-2.0226,147.2712,26.75,86,100,2.6,PG,1715247857
283,dazhong,33.1997,120.4578,17.16,76,100,3.91,CN,1715247857
284,sisimiut,66.9395,-53.6735,-3.82,76,6,2.93,GL,1715247857
285,codrington,-38.2667,141.9667,12.43,85,82,3.29,AU,1715247858
286,khandyga,62.6667,135.6,2.77,93,100,2.38,RU,1715247858
287,kletnya,53.3897,33.2171,7.29,28,7,4.1,RU,1715247858
288,yeniseysk,58.4497,92.1703,4.97,84,99,3.58,RU,1715247858
289,belmonte,-15.8631,-38.8828,24.93,86,56,1.22,BR,1715247858
290,port shepstone,-30.7414,30.455,25.41,64,0,5.41,ZA,1715247858
291,aioun,16.6614,-9.6149,37.59,4,23,3.8,MR,1715247859
292,guerrero negro,27.9769,-114.0611,14.97,79,37,6.29,MX,1715247859
293,st. john's,47.5649,-52.7093,5.54,90,75,4.63,CA,1715247709
294,leava,-14.3,-178.1667,27.89,71,100,8.01,WF,1715247859
295,isiro,2.7739,27.616,28.08,59,97,1.2,CD,1715247859
